date,open,high,low,close,volume
2017-10-25,49.4916,50.2455,49.2436,49.3081,19167021
2017-10-26,49.7098,49.8983,49.3725,49.7495,16952945
2017-10-27,49.8884,50.563,49.6305,50.4737,15099521
2017-10-30,50.2257,50.3447,49.8338,50.2753,9049834
2017-10-31,50.3249,50.8705,50.0471,50.4935,14453112
2017-11-01,50.6919,50.7614,50.1661,50.2356,10128000
2017-11-02,50.1364,50.2951,49.7197,49.8785,10389824
2017-11-03,49.9578,50.0372,49.7594,49.7793,15814547
2017-11-06,49.6999,50.1463,49.6229,49.9975,9677982
2017-11-07,50.0273,50.1761,49.6801,50.0868,6796455
2017-11-08,49.9281,50.3348,49.7991,50.1364,7978663
2017-11-09,49.7396,49.8189,48.1524,48.8468,16156506
2017-11-10,48.6087,48.9757,48.3557,48.9261,9944188
2017-11-13,48.7079,49.0353,48.6632,49.0055,6566684
2017-11-14,48.9261,48.9361,48.5095,48.8071,8498922
2017-11-15,48.4896,48.6831,48.3408,48.4301,9425149
2017-11-16,48.7178,49.2237,48.6186,48.8071,11738536
2017-11-17,48.6087,48.8368,48.4599,48.5492,10035107
2017-11-20,48.6484,48.7674,48.5293,48.6285,11525088
2017-11-21,48.6087,48.7079,48.1127,48.2416,18313271
2017-11-22,48.1722,48.44,48.0333,48.192,10619037
2017-11-24,48.4896,48.7376,48.3012,48.6186,6008333
2017-11-27,48.5492,48.8269,48.3607,48.4896,13395574
2017-11-28,48.4896,48.8071,48.4599,48.6186,13930558
2017-11-29,48.4599,48.4698,47.8151,48.1325,14377575
2017-11-30,48.4996,48.9361,48.4996,48.6682,24701096
2017-12-01,48.6583,49.6007,48.5095,49.2138,15899489
2017-12-04,49.4221,49.4221,47.9738,48.0135,13473879
2017-12-05,47.825,48.2615,47.582,47.6068,17858893
2017-12-06,47.4976,48.197,47.2496,48.0333,12974467
2017-12-07,47.9837,48.4202,47.9143,48.1325,13482831
2017-12-08,48.5095,49.2932,48.3111,49.2039,14732347
2017-12-11,49.2138,50.0967,49.1642,50.0669,15852801
2017-12-12,49.6007,50.305,49.5511,49.9876,17463957
2017-12-13,49.9281,50.1066,49.6106,49.6503,17196888
2017-12-14,49.7991,49.9975,49.5412,49.7892,22259254
2017-12-15,47.9589,48.0928,46.6247,47.9143,75176011
2017-12-18,48.1424,48.4599,47.2992,47.329,25156817
2017-12-19,47.6018,47.9639,47.3587,47.4381,28664335
2017-12-20,47.5968,47.6663,47.4083,47.5175,11432187
2017-12-21,47.696,47.7258,46.8528,46.9024,18396828
2017-12-22,46.8528,47.0215,46.7189,46.9818,11197347
2017-12-26,46.9917,47.2,46.8727,47.0512,7650197
2017-12-27,46.8727,47.0909,46.7735,47.0016,8132189
2017-12-28,46.9223,47.1703,46.9223,47.1405,7777596
2017-12-29,47.1504,47.4976,46.9024,46.9024,9750044
2018-01-02,47.1901,47.4194,45.8013,46.2576,25380018
2018-01-03,47.1504,47.6861,47.0611,47.329,24165000
2018-01-04,47.6068,47.8052,47.3339,47.7952,19815057
2018-01-05,48.0333,48.2416,47.8944,48.0829,14496427
2018-01-08,47.9143,48.6781,47.5572,48.5888,15075007
2018-01-09,49.0469,49.1565,48.7183,48.8577,14153666
2018-01-10,48.6585,49.0669,48.3797,48.5988,13476601
2018-01-11,48.6685,48.8179,48.2403,48.7482,11687801
2018-01-12,48.9772,49.6196,48.8577,49.3059,15978201
2018-01-16,49.6445,49.8536,49.2362,49.3855,17152564
2018-01-17,49.7042,50.0827,49.6445,50.0627,23183110
2018-01-18,49.9831,50.471,49.8934,50.0229,17119187
2018-01-19,50.2918,50.3914,50.0627,50.3715,14011470
2018-01-22,50.2221,50.5308,50.0627,50.5009,16840015
2018-01-23,50.5408,51.0586,50.3615,50.9092,14141416
2018-01-24,51.1482,51.7856,50.9989,51.2379,17205640
2018-01-25,51.3275,51.8304,51.3275,51.3873,13904280
2018-01-26,51.6462,52.5325,51.5466,52.5325,14909206
2018-01-29,52.4528,52.5723,51.6661,51.7259,12234923
2018-01-30,51.5267,51.7756,50.5358,50.7499,16863516
2018-01-31,50.6503,51.6312,50.6503,51.3773,16806832
2018-02-01,51.1482,51.7657,51.0487,51.4171,11674132
2018-02-02,51.0387,51.198,49.8337,49.9233,17562215
2018-02-05,49.8337,50.491,47.8618,47.8917,19725751
2018-02-06,47.1349,49.3059,46.6171,49.1963,25921187
2018-02-07,48.9971,49.6445,48.6187,48.6685,15138042
2018-02-08,48.8876,48.9175,46.617,46.6469,21255423
2018-02-09,47.3838,47.9519,45.7307,47.5332,23191006
2018-02-12,48.0212,48.2869,47.5232,47.9515,16261649
2018-02-13,47.8121,48.4793,47.573,48.2901,12633105
2018-02-14,47.9913,49.3158,47.9415,49.2461,14271379
2018-02-15,49.4951,50.476,49.2262,50.4312,14132495
2018-02-16,50.3416,50.9291,50.2818,50.5009,11098819
2018-02-20,49.993,50.1026,49.4503,49.6843,14144874
2018-02-21,49.6644,50.1324,49.2262,49.2262,13050820
2018-02-22,49.3855,49.8486,49.2013,49.3855,9513193
2018-02-23,49.5847,50.3615,49.4154,50.2918,8866832
2018-02-26,50.3814,51.0487,50.2918,50.959,12955970
2018-02-27,50.8594,51.1881,50.3266,50.5208,14339563
2018-02-28,50.8495,51.2877,50.4611,50.4611,14947949
2018-03-01,50.7499,50.7499,49.2113,49.505,16539779
2018-03-02,49.1266,50.1922,48.9523,50.1125,17290989
2018-03-05,49.6943,51.2777,49.6445,51.0785,18771549
2018-03-06,51.3474,51.5765,51.0088,51.2877,13907083
2018-03-07,50.8495,51.5964,50.8196,51.5068,11727303
2018-03-08,51.7259,51.9449,51.2528,51.9151,15864375
2018-03-09,52.1342,52.7815,51.9848,52.7516,16218601
2018-03-12,52.7616,53.2197,52.4479,52.6819,14108403
2018-03-13,53.0205,53.2595,52.1242,52.3632,12864366
2018-03-14,52.662,52.9309,51.9649,52.1043,10885538
2018-03-15,52.0047,52.4479,51.8952,52.1541,14155248
2018-03-16,52.184,52.4728,52.0346,52.0545,21011451
2018-03-19,52.2138,52.3632,51.2976,51.7358,25777352
2018-03-20,46.607,47.5531,46.2386,46.856,68600975
2018-03-21,47.095,47.8618,46.8162,46.8261,34597724
2018-03-22,46.5274,46.8276,45.5415,45.7008,25610072
2018-03-23,45.7904,46.1489,44.5755,44.6053,21398879
2018-03-26,45.3622,46.4477,45.1979,46.2884,20754752
2018-03-27,46.4377,46.627,44.8145,45.1929,18925257
2018-03-28,45.0933,45.173,44.3265,44.7945,22156930
2018-03-29,45.1232,46.0991,44.8244,45.5614,14256447
2018-04-02,45.4618,45.661,44.2369,44.8244,15343314
2018-04-03,45.1431,45.1431,44.1074,44.7049,15734569
2018-04-04,43.8883,45.4319,43.8584,45.3224,18505940
2018-04-05,45.5415,45.9896,45.3622,45.7705,12312979
2018-04-06,45.3224,45.5614,44.4161,44.6452,13893643
2018-04-09,44.924,45.4618,44.695,44.7149,15199976
2018-04-10,45.3622,45.8801,45.2726,45.6311,17177233
2018-04-11,45.2128,45.8004,45.173,45.422,14911438
2018-04-12,45.5016,45.9796,45.4568,45.6908,13970339
2018-04-13,46.1191,46.3382,45.422,45.89,12493597
2018-04-16,46.03,46.39,45.595,46.05,11639037
2018-04-17,46.41,46.93,46.39,46.66,10762747
2018-04-18,46.68,47.29,46.68,47.08,11312882
2018-04-19,46.99,47.11,46.7,46.82,8563187
2018-04-20,46.47,46.62,45.98,46.23,15675644
2018-04-23,46.38,46.47,45.72,45.8,14904389
2018-04-24,45.93,46.365,45.28,45.53,13356952
2018-04-25,45.42,45.84,45.05,45.75,11764000
2018-04-26,46.09,46.21,45.9,45.96,12175800
2018-04-27,46.12,46.12,45.465,45.53,14420754
2018-04-30,45.66,46.015,45.56,45.67,13896566
2018-05-01,45.39,45.95,45.39,45.95,8838034
2018-05-02,45.89,46.08,45.47,45.51,10715198
2018-05-03,45.36,45.39,44.49,45.06,15370217
2018-05-04,44.93,45.92,44.8,45.71,10571831
2018-05-07,45.94,46.239,45.78,46.07,9006006
2018-05-08,45.88,45.99,45.55,45.94,9830551
2018-05-09,46.23,46.68,45.98,46.58,11822388
2018-05-10,46.8,47.1,46.61,46.93,10974199
2018-05-11,47.11,47.15,46.64,46.82,9498144
2018-05-14,46.81,47.26,46.69,46.82,9689474
2018-05-15,46.51,46.82,46.25,46.81,11304873
2018-05-16,46.93,46.93,46.45,46.73,9874195
2018-05-17,46.69,47.055,46.42,46.54,10162341
2018-05-18,46.69,46.79,46.24,46.32,13517330
2018-05-21,46.53,47.285,46.49,47.21,13416333
2018-05-22,47.24,47.54,46.31,46.37,18505113
2018-05-23,46.08,46.97,46.02,46.9,9204379
2018-05-24,46.66,46.94,46.14,46.46,12497658
2018-05-25,46.49,47.165,46.48,47.0,11354337
2018-05-29,46.55,46.8,46.035,46.26,12427752
2018-05-30,46.63,47.23,46.43,47.05,11906539
2018-05-31,46.93,47.17,46.71,46.72,13062416
2018-06-01,47.08,47.36,46.9,47.35,10863237
2018-06-04,47.48,47.57,47.23,47.32,12178443
2018-06-05,47.33,47.42,46.805,47.13,13430887
2018-06-06,47.42,47.805,47.1,47.75,13299094
2018-06-07,47.93,48.03,47.42,47.68,13714092
2018-06-08,47.41,48.38,47.41,48.18,14515405
2018-06-11,48.15,48.39,47.97,48.19,12521110
2018-06-12,48.21,48.59,48.155,48.45,14713577
2018-06-13,48.11,48.67,48.09,48.27,18053335
2018-06-14,47.01,47.02,45.66,45.9,37001333
2018-06-15,45.87,46.49,45.19,46.28,28120363
2018-06-18,45.82,46.6,45.46,46.52,21474089
2018-06-19,45.84,46.41,45.77,46.27,22764939
