date,open,high,low,close,volume
2017-10-10,152.0,152.86,151.32,152.15,2817629
2017-10-11,152.09,154.0,151.35,153.65,2791024
2017-10-12,153.72,154.85,153.39,153.61,2430193
2017-10-13,153.96,154.59,153.06,153.93,2515573
2017-10-16,151.15,153.07,149.2811,150.46,3833182
2017-10-17,150.52,150.93,148.15,150.38,3547811
2017-10-18,150.33,153.43,149.03,153.0,4290947
2017-10-19,165.5,172.15,164.42,171.73,13522642
2017-10-20,171.5,175.87,171.355,175.64,6019412
2017-10-23,175.68,175.85,171.83,172.16,3220814
2017-10-24,171.47,172.49,170.491,171.58,2658577
2017-10-25,170.37,173.41,170.035,171.83,2785655
2017-10-26,172.06,175.02,172.02,173.75,2581165
2017-10-27,174.02,177.58,174.02,177.33,2807106
2017-10-30,177.0,177.48,174.45,176.03,2124220
2017-10-31,176.16,176.73,174.52,175.16,2656509
2017-11-01,176.59,176.94,174.7,176.25,2002919
2017-11-02,178.02,181.48,175.8,180.94,3262340
2017-11-03,181.76,182.74,179.64,182.3,2244714
2017-11-06,182.01,182.29,180.54,180.8,2022474
2017-11-07,181.23,181.78,180.11,180.88,2544173
2017-11-08,181.19,184.44,181.06,184.06,1791797
2017-11-09,182.88,183.079,179.03,181.92,2703644
2017-11-10,181.0,182.06,179.83,181.72,2082659
2017-11-13,180.5,182.32,179.75,181.85,1496104
2017-11-14,181.98,182.17,180.31,181.32,1549658
2017-11-15,180.92,181.7275,179.6043,180.08,1980859
2017-11-16,181.18,182.44,180.58,182.3,1961186
2017-11-17,182.08,182.9105,181.135,182.24,1482133
2017-11-20,182.8,183.43,181.34,182.34,1118117
2017-11-21,183.75,185.55,182.835,184.15,2036520
2017-11-22,184.32,184.5,182.62,182.9,1546690
2017-11-24,182.96,184.71,182.96,184.46,662988
2017-11-27,184.83,185.84,184.09,185.0,1305108
2017-11-28,185.62,186.27,184.37,185.4,1647026
2017-11-29,183.87,184.73,175.31,176.85,4320844
2017-11-30,178.14,181.67,176.5501,181.47,3976326
2017-12-01,179.51,182.0,177.13,179.52,3016883
2017-12-04,180.34,180.62,168.43,168.44,5931410
2017-12-05,167.69,171.78,165.68,167.54,4698710
2017-12-06,166.79,173.96,165.75,173.52,3773011
2017-12-07,173.46,175.9,172.13,174.61,2442047
2017-12-08,177.08,177.2,173.17,173.57,2101808
2017-12-11,173.77,174.98,173.2,174.31,2776719
2017-12-12,172.69,174.13,170.43,172.54,3924191
2017-12-13,173.5,177.42,173.29,176.83,4591716
2017-12-14,178.26,178.72,174.98,175.0,4720922
2017-12-15,179.36,179.98,174.3004,177.51,9191676
2017-12-18,178.42,179.15,175.31,176.74,3435384
2017-12-19,176.01,176.76,174.23,174.97,2509526
2017-12-20,176.0,176.0,172.92,174.25,2677319
2017-12-21,174.05,175.32,174.0,174.56,2164450
2017-12-22,173.99,175.1,173.75,175.0,1702630
2017-12-26,174.36,175.0,173.03,174.44,918355
2017-12-27,174.65,175.44,173.97,175.36,1527819
2017-12-28,175.92,176.0,174.85,175.55,1043660
2017-12-29,175.19,176.97,175.1,175.24,1810263
2018-01-02,175.85,177.8,175.26,177.7,2432814
2018-01-03,178.0,181.89,177.7,181.04,2561213
2018-01-04,181.93,184.0599,181.64,183.22,2211383
2018-01-05,185.0,185.9,183.54,185.34,2376524
2018-01-08,184.95,185.599,183.83,185.04,2087952
2018-01-09,185.57,186.97,183.9314,186.7,1804423
2018-01-10,185.21,187.27,185.073,187.11,1664485
2018-01-11,187.29,188.94,186.185,188.92,1600065
2018-01-12,189.09,195.5,188.99,195.05,4246044
2018-01-16,195.92,198.21,191.71,192.46,4595560
2018-01-17,194.015,197.12,192.77,196.49,2969469
2018-01-18,196.21,196.586,194.06,196.2,2539356
2018-01-19,196.24,196.63,194.65,195.73,2342979
2018-01-22,195.7,198.0,194.424,197.84,1701342
2018-01-23,202.29,204.45,199.44,200.09,3980994
2018-01-24,201.82,202.3,196.52,197.78,3250450
2018-01-25,198.08,199.244,196.07,197.51,2574213
2018-01-26,198.5,201.55,198.25,201.3,2338080
2018-01-29,200.11,200.86,197.87,198.23,1938978
2018-01-30,197.25,197.73,194.89,196.9,3343348
2018-01-31,197.13,200.96,196.75,199.76,2747576
2018-02-01,199.12,201.75,198.0845,199.38,2366120
2018-02-02,197.33,199.4,195.44,195.64,2813785
2018-02-05,194.06,198.46,188.0,190.27,3801346
2018-02-06,186.59,194.82,182.1,194.47,4479960
2018-02-07,193.87,196.24,192.02,192.34,2988024
2018-02-08,192.84,192.97,185.02,185.16,3978688
2018-02-09,187.33,189.71,179.34,187.99,3818835
2018-02-12,189.0,192.99,188.56,192.15,2824726
2018-02-13,190.85,194.31,190.39,193.48,1961306
2018-02-14,192.48,197.5,191.95,197.13,2542392
2018-02-15,198.97,203.28,197.13,202.97,2233313
2018-02-16,202.52,203.9,200.74,201.56,2172590
2018-02-20,200.46,205.115,199.18,202.98,2722668
2018-02-21,204.45,206.83,202.02,202.09,2043494
2018-02-22,203.07,204.22,201.68,202.61,1541519
2018-02-23,204.22,209.78,203.31,209.74,2349265
2018-02-26,211.29,212.35,209.261,212.15,2418674
2018-02-27,211.99,212.76,208.25,208.82,2330752
2018-02-28,210.69,213.44,209.1,209.13,2356944
2018-03-01,210.32,210.6834,204.45,206.03,2632234
2018-03-02,203.96,210.21,201.76,209.79,2624675
2018-03-05,208.75,212.0,206.92,211.16,2111808
2018-03-06,212.44,212.74,209.88,212.01,2169010
2018-03-07,211.33,217.44,211.0033,216.86,2795072
2018-03-08,218.03,219.71,214.86,216.4,2284446
2018-03-09,218.0,221.27,217.19,221.11,2642259
2018-03-12,222.97,223.11,220.34,220.94,3216924
2018-03-13,223.0,224.9,218.43,219.76,4731961
2018-03-14,220.75,221.46,217.6,218.44,3357597
2018-03-15,220.0,221.47,218.061,218.87,4457006
2018-03-16,227.18,228.88,224.0,225.55,8783042
2018-03-19,224.48,226.59,218.68,222.18,4029302
2018-03-20,223.19,231.34,223.0,229.75,5019294
2018-03-21,228.76,229.25,225.61,226.85,3971832
2018-03-22,223.86,225.87,220.255,220.52,3008694
2018-03-23,219.52,222.455,214.78,215.02,4297236
2018-03-26,218.83,229.15,218.5,228.91,4485445
2018-03-27,229.9,230.98,212.25,213.8,5468070
2018-03-28,213.72,217.15,209.04,212.54,4503154
2018-03-29,213.35,219.59,210.2737,216.08,3757447
2018-04-02,214.81,216.5,207.22,212.28,3494946
2018-04-03,214.78,217.8549,212.28,215.93,3017824
2018-04-04,210.71,226.28,210.5,225.05,4474394
2018-04-05,227.94,228.8,221.605,223.54,4084913
2018-04-06,221.89,224.46,216.7471,218.61,2964487
2018-04-09,220.08,224.437,218.82,219.17,2536139
2018-04-10,222.61,225.16,221.181,224.53,2845870
2018-04-11,222.93,226.62,222.54,223.63,1851054
2018-04-12,225.72,228.39,225.115,226.96,2084110
2018-04-13,228.85,228.95,222.55,224.06,2029265
2018-04-16,226.08,227.23,222.9535,226.52,2130698
2018-04-17,228.56,232.21,228.07,231.16,3404449
2018-04-18,231.7,233.1713,228.62,231.1,2261576
2018-04-19,230.11,230.43,226.28,227.62,2620107
2018-04-20,227.0,227.6,223.05,225.24,2403683
2018-04-23,226.39,229.15,224.75,225.3,2137988
2018-04-24,227.0,228.3,215.778,217.89,3450849
2018-04-25,218.16,219.4,213.25,217.32,2946092
2018-04-26,219.77,223.19,218.851,221.91,2235942
2018-04-27,223.08,224.18,219.68,221.9,1503148
2018-04-30,223.27,224.14,219.538,221.6,1766330
2018-05-01,220.77,224.49,219.38,224.08,1792948
2018-05-02,224.3,224.5,220.55,221.1,2202895
2018-05-03,220.01,227.37,218.7396,226.05,2507925
2018-05-04,223.89,229.39,223.39,228.51,1663737
2018-05-07,229.54,232.36,229.02,230.99,1808338
2018-05-08,229.74,234.9971,228.75,234.56,2244572
2018-05-09,235.0,240.15,233.525,239.74,3091588
2018-05-10,240.46,241.76,238.24,241.15,1941395
2018-05-11,241.03,241.93,238.7901,241.88,2261704
2018-05-14,242.0,243.34,237.24,238.37,2670821
2018-05-15,235.64,237.345,233.0,236.6,2130349
2018-05-16,236.59,238.12,235.8396,237.39,1843652
2018-05-17,237.32,239.665,234.8288,236.85,1690642
2018-05-18,236.24,239.28,235.2581,238.09,1888196
2018-05-21,239.85,240.78,237.11,238.1,1757941
2018-05-22,241.15,243.49,237.76,238.79,2950223
2018-05-23,236.32,244.09,236.0,243.91,2757629
2018-05-24,243.79,245.9,240.7218,245.15,2779634
2018-05-25,245.0,245.79,242.87,243.56,2152871
2018-05-29,242.99,243.385,240.38,242.19,2093449
2018-05-30,244.4,248.56,244.39,247.4,2319344
2018-05-31,247.11,251.52,246.58,249.28,3838370
2018-06-01,250.55,251.83,248.8486,251.31,2773194
2018-06-04,252.85,254.72,251.1,253.34,3058747
2018-06-05,254.0,254.06,251.11,252.7,2677427
2018-06-06,253.75,254.07,251.5,253.95,3963638
