date,open,high,low,close,volume
2018-01-11,79.45,79.87,78.91,79.75,6267464
2018-01-12,80.0,80.77,79.66,80.54,6891095
2018-01-16,80.95,81.8,79.94,80.42,9596634
2018-01-17,80.4,82.61,79.96,82.47,7146923
2018-01-18,82.43,83.44,81.61,82.94,7395055
2018-01-19,83.23,84.19,83.1283,83.84,8783546
2018-01-22,84.0,84.21,83.22,83.98,7560451
2018-01-23,84.12,84.55,83.45,84.21,9736409
2018-01-24,84.52,85.29,82.71,83.71,8735746
2018-01-25,84.0,85.27,83.71,84.34,7268277
2018-01-26,84.46,85.49,84.04,85.45,7840318
2018-01-29,85.2,85.35,83.62,84.31,8198945
2018-01-30,83.0,84.17,82.0,83.78,7864528
2018-01-31,84.18,86.32,84.16,85.32,15221427
2018-02-01,79.95,80.95,76.7,78.4,44271646
2018-02-02,78.1,79.62,76.28,76.57,21979787
2018-02-05,75.95,78.98,74.68,74.705,18810638
2018-02-06,72.63,76.515,72.25,75.68,19739626
2018-02-07,75.35,77.58,74.94,75.59,11988019
2018-02-08,75.63,75.91,72.27,72.32,13665355
2018-02-09,73.14,75.27,71.63,74.75,14339365
2018-02-12,75.49,76.28,74.852,75.28,10419606
2018-02-13,74.81,75.6,74.55,74.97,7743645
2018-02-14,74.18,77.36,74.13,77.27,8955753
2018-02-15,78.01,78.3,76.58,78.295,9311008
2018-02-16,78.2,78.75,77.53,78.37,9758525
2018-02-20,77.7,78.54,76.66,77.06,6875391
2018-02-21,77.2,78.496,76.465,76.51,8260361
2018-02-22,76.8,78.37,76.77,77.7,6632292
2018-02-23,78.26,79.7,77.391,79.69,7520694
2018-02-26,80.0,80.05,78.98,79.35,7130682
2018-02-27,79.11,79.929,78.61,79.46,8861955
2018-02-28,79.9,82.17,79.39,79.41,10799506
2018-03-01,79.6,80.44,77.88,78.64,8443335
2018-03-02,77.52,79.11,76.93,78.87,9426242
2018-03-05,78.07,79.42,77.09,79.07,6652980
2018-03-06,79.33,79.95,78.85,79.23,7477760
2018-03-07,78.65,79.555,78.01,79.52,5546703
2018-03-08,79.85,80.49,79.53,79.87,6878581
2018-03-09,80.26,80.85,80.11,80.71,7667562
2018-03-12,80.75,81.17,80.35,80.6,6607596
2018-03-13,80.69,80.99,79.27,80.2,6414654
2018-03-14,80.74,83.5,80.64,83.31,14281118
2018-03-15,83.75,83.99,81.57,82.57,9850566
2018-03-16,82.8,83.23,81.27,82.16,8356179
2018-03-19,80.89,81.44,79.11,80.3,9028914
2018-03-20,80.18,81.19,80.0535,80.86,7388075
2018-03-21,80.94,82.35,80.51,81.04,6757190
2018-03-22,79.81,80.12,78.46,78.56,9608364
2018-03-23,78.5,79.06,76.35,76.44,9569050
2018-03-26,77.98,79.17,77.0301,78.95,8682648
2018-03-27,79.59,79.9,75.65,76.31,7980307
2018-03-28,75.7,76.75,74.74,75.06,14370325
2018-03-29,75.31,77.2,74.55,75.87,11064269
2018-04-02,75.23,76.3001,74.01,75.0,11417691
2018-04-03,75.28,75.41,73.35,74.56,8885973
2018-04-04,73.0,75.06,72.52,74.78,8230790
2018-04-05,75.59,77.82,75.48,76.95,10015717
2018-04-06,75.52,76.4,73.7,73.86,8179131
2018-04-09,74.6,76.88,74.6,75.19,7328434
2018-04-10,76.51,77.31,75.8003,76.79,6217464
2018-04-11,76.2,77.4,76.08,76.5,4581013
2018-04-12,76.8,77.99,76.61,77.46,5034799
2018-04-13,78.0,78.63,76.83,77.27,5909943
2018-04-16,77.88,78.5,77.19,77.8,5101377
2018-04-17,78.55,80.43,78.5,80.03,7135657
2018-04-18,80.1,80.89,79.32,80.34,5943689
2018-04-19,80.2,80.39,79.19,79.68,7122738
2018-04-20,79.22,79.87,78.3,78.73,6265267
2018-04-23,78.86,79.45,77.99,78.21,4038517
2018-04-24,78.9,79.4,75.08,75.28,9186611
2018-04-25,75.39,75.575,73.7,74.0,10940287
2018-04-26,76.32,77.62,75.49,76.03,13625287
2018-04-27,76.21,76.39,73.635,74.13,9794316
2018-04-30,74.0,75.019,73.69,74.61,9444449
2018-05-01,74.15,74.99,73.6,74.81,5660219
2018-05-02,75.0,75.71,71.21,71.73,17710747
2018-05-03,71.3,73.77,70.22,73.45,17310691
2018-05-04,73.19,74.44,72.23,73.99,7470794
2018-05-07,74.22,75.12,74.1,74.67,7583734
2018-05-08,74.62,75.94,74.44,75.72,6267169
2018-05-09,76.08,77.05,75.46,77.01,6230501
2018-05-10,77.39,79.255,77.25,79.19,11541352
2018-05-11,79.25,79.39,78.08,79.2,9871283
2018-05-14,79.14,79.65,78.4402,78.81,5821169
2018-05-15,77.85,78.2,76.93,77.79,6173510
2018-05-16,77.5,78.54,77.2801,77.82,5350161
2018-05-17,77.63,81.16,77.59,79.19,8329549
2018-05-18,79.9,81.94,79.8247,80.79,14626894
2018-05-21,81.61,82.32,80.37,81.25,7882072
2018-05-22,81.39,81.61,80.28,80.62,5188282
2018-05-23,79.66,81.12,79.405,81.08,5059808
2018-05-24,80.91,83.06,79.66,81.55,11696832
2018-05-25,82.65,82.72,80.49,80.96,9471281
2018-05-29,80.71,81.34,80.2,80.73,6924208
2018-05-30,81.1613,82.06,80.9,81.6,5516230
2018-05-31,81.81,82.83,81.55,82.07,8250136
2018-06-01,82.5497,83.46,81.85,83.25,7092081
2018-06-04,83.23,84.8,82.77,84.57,7423686
2018-06-05,84.5,85.2,84.01,85.05,9033556
2018-06-06,85.05,85.61,84.5,85.21,7867161
2018-06-07,85.21,85.3,82.31,83.27,7838563
